ID,中文名,英文名,預計圖片檔名,異圖檔名建議(放R2)
1,珠頸斑鳩,Spotted Dove,0001.avif,0001_UR.avif
2,黑鳶,Black Kite,0002.avif,0002_UR.avif
3,原鴿,Rock Pigeon,0003.avif,0003_UR.avif
4,小葵花鳳頭鸚鵡,Yellow-Crested Cockatoo,0004.avif,0004_UR.avif
5,噪鵑,Asian Koel,0005.avif,0005_UR.avif
6,紅耳鵯,Red-Whiskered Bulbul,0006.avif,0006_UR.avif
7,白頭鵯,Light-Vented Bulbul,0007.avif,0007_UR.avif
8,鵲鴝,Oriental Magpie-Robin,0008.avif,0008_UR.avif
9,黑臉噪眉,Unknown Species,0009.avif,0009_UR.avif
10,白腰文鳥,Slaty-Breasted Rail,0010.avif,0010_UR.avif
11,麻雀,Eurasian Tree Sparrow,0011.avif,0011_UR.avif
12,黑領椋鳥,Unknown Species,0012.avif,0012_UR.avif
13,八哥,Crested Myna,0013.avif,0013_UR.avif
14,喜鵲,Eurasian Magpie,0014.avif,0014_UR.avif
15,紅嘴藍鵲,Red-Billed Blue Magpie,0015.avif,0015_UR.avif
16,大山雀,Unknown Species,0016.avif,0016_UR.avif
17,暗綠繡眼鳥,Eastern Buzzard,0017.avif,0017_UR.avif
18,畫眉,Chinese Hwamei,0018.avif,0018_UR.avif
19,叉尾太陽鳥,Fork-Tailed Sunbird,0019.avif,0019_UR.avif
20,長尾縫葉鶯,Common Tailorbird,0020.avif,0020_UR.avif
21,亞歷山大鸚鵡,Unknown Species,0021.avif,0021_UR.avif
22,栗樹鴨,Lesser Whistling-Duck,0022.avif,0022_UR.avif
23,灰雁,Graylag Goose,0023.avif,0023_UR.avif
24,白額雁,Greater White-Fronted Goose,0024.avif,0024_UR.avif
25,小白額雁,Lesser White-Fronted Goose,0025.avif,0025_UR.avif
26,寒林豆雁,Taiga Bean Goose,0026.avif,0026_UR.avif
27,凍原豆雁,Tundra Bean Goose,0027.avif,0027_UR.avif
28,大天鵝,Whooper Swan,0028.avif,0028_UR.avif
29,赤麻鴨,Ruddy Shelduck,0029.avif,0029_UR.avif
30,翹鼻麻鴨,Common Shelduck,0030.avif,0030_UR.avif
31,棉鳧,Cotton Pygmy-Goose,0031.avif,0031_UR.avif
32,鴛鴦,Mandarin Duck,0032.avif,0032_UR.avif
33,花臉鴨,Baikal Teal,0033.avif,0033_UR.avif
34,白眉鴨,Garganey,0034.avif,0034_UR.avif
35,琵嘴鴨,Northern Shoveler,0035.avif,0035_UR.avif
36,赤膀鴨,Gadwall,0036.avif,0036_UR.avif
37,羅紋鴨,Falcated Duck,0037.avif,0037_UR.avif
38,赤頸鴨,Eurasian Wigeon,0038.avif,0038_UR.avif
39,美洲黑海番鴨,American Wigeon,0039.avif,0039_UR.avif
40,棕頸鴨,Philippine Duck,0040.avif,0040_UR.avif
41,印缅斑嘴鴨,Indian Spot-Billed Duck,0041.avif,0041_UR.avif
42,中華斑嘴鴨,Eastern Spot-Billed Duck,0042.avif,0042_UR.avif
43,綠頭鴨,Mallard,0043.avif,0043_UR.avif
44,針尾鴨,Northern Pintail,0044.avif,0044_UR.avif
45,綠翅鴨,Green-Winged Teal,0045.avif,0045_UR.avif
46,赤嘴潛鴨,Red-Crested Pochard,0046.avif,0046_UR.avif
47,紅頭潛鴨,Common Pochard,0047.avif,0047_UR.avif
48,白眼潛鴨,Ferruginous Duck,0048.avif,0048_UR.avif
49,青頭潛鴨,Aythya Baeri,0049.avif,0049_UR.avif
50,鳳頭潛鴨,Tufted Duck,0050.avif,0050_UR.avif
51,斑背潛鴨,Greater Scaup,0051.avif,0051_UR.avif
52,紅胸田雞,Velvet Scoter,0052.avif,0052_UR.avif
53,White-winged scoter,White-Winged Scoter,0053.avif,0053_UR.avif
54,斑臉海番鴨,Melanitta Stejnegeri,0054.avif,0054_UR.avif
55,鵲鴨,Common Goldeneye,0055.avif,0055_UR.avif
